"","functional_group","Treatment","mean_year_0","median_year_0","se_year_0","max_year_0","mean_year_2","median_year_2","se_year_2","max_year_2","mean_year_3","median_year_3","se_year_3","max_year_3"
"57","Livermosses","C",0,0,0,0,0.00625,0,0.00434755214775158,0.1,1.628125,0,0.712209680170261,15
"58","Livermosses","M",0,0,0,0,0.0375,0,0.0313506443829438,1,3.534375,0.55,1.46438642726807,45
"59","Livermosses","S",0.00714285714285714,0,0.00347266024860284,0.1,0.3328125,0,0.101990474955492,5,1.66875,0.1,0.321153017909996,11
"60","Livermosses","R",NA,NA,NA,NA,NA,NA,NA,NA,6.74333333333333,1,2.81413788408659,70
"61","Mulch","C",0,0,0,0,0.046875,0,0.0314259161464731,1,0,0,0,0
"62","Mulch","M",0,0,0,0,62.1875,62.5,2.80352510675284,90,29.315625,30,3.13040213514522,70
"63","Mulch","S",0,0,0,0,47.421875,50,2.22158029155272,75,11.0328125,8,1.21025515209485,35
"64","Mulch","R",NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0
"65","Narthecium","C",0,0,0,0,0.003125,0,0.003125,0.1,0.009375,0,0.00523514603733822,0.1
"66","Narthecium","M",0,0,0,0,0.00625,0,0.00434755214775158,0.1,0.034375,0,0.0085305133056613,0.1
"67","Narthecium","S",0,0,0,0,0.0078125,0,0.00338112135937552,0.1,0.025,0,0.00545544725589981,0.1
"68","Narthecium","R",NA,NA,NA,NA,NA,NA,NA,NA,14.8,15,2.74695233421273,55
"69","Other_mosses","C",1.6875,0.1,0.864846037948281,20,2.99375,0.1,1.39131767362871,40,5.228125,0.1,1.88702185983522,50
"70","Other_mosses","M",1.853125,0,0.974027475839114,25,6.1375,1,1.53738197816099,25,12.25625,2,3.3024793273632,70
"71","Other_mosses","S",2.5375,0.1,0.990954421547437,50,1.91875,1,0.394234710476442,15,4.115625,1,0.882645786864382,25
"72","Other_mosses","R",NA,NA,NA,NA,NA,NA,NA,NA,3.25333333333333,1,1.67384706131544,50
"73","Oxycoccus","C",0.003125,0,0.003125,0.1,0,0,0,0,0,0,0,0
"74","Oxycoccus","M",0,0,0,0,0.009375,0,0.00523514603733822,0.1,0,0,0,0
"75","Oxycoccus","S",0,0,0,0,0.0046875,0,0.00266302532264483,0.1,0.0046875,0,0.00266302532264483,0.1
"76","Oxycoccus","R",NA,NA,NA,NA,NA,NA,NA,NA,0.25,0.1,0.108675410409099,3
"77","Polytrichum","C",0.203125,0,0.0938087853329589,2,0.446875,0.1,0.176032917960378,5,1.459375,0.05,0.793062909056888,25
"78","Polytrichum","M",0.303125,0,0.127513786019395,3,0.70625,0.05,0.2247282184716,5,1.959375,0.1,0.507223215778813,10
"79","Polytrichum","S",0.298214285714286,0,0.102231309898495,4,0.978125,0.1,0.279521529521913,12,3.4484375,0.1,1.06406861843566,40
"80","Polytrichum","R",NA,NA,NA,NA,NA,NA,NA,NA,0.07,0,0.0462750398200242,1
"81","Racomitrium","C",0,0,0,0,0,0,0,0,0,0,0,0
"82","Racomitrium","M",0,0,0,0,0,0,0,0,0.03125,0,0.03125,1
"83","Racomitrium","S",0,0,0,0,0.003125,0,0.00219210117003813,0.1,0.0015625,0,0.0015625,0.1
"84","Racomitrium","R",NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0
"85","Rhynchospora","C",0,0,0,0,0,0,0,0,0.003125,0,0.003125,0.1
"86","Rhynchospora","M",0,0,0,0,0,0,0,0,0,0,0,0
"87","Rhynchospora","S",0,0,0,0,0.0015625,0,0.0015625,0.1,0.015625,0,0.015625,1
"88","Rhynchospora","R",NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0
