"","Location","Sublocation","Sph_sp","Species_full","cover","se_cover","proportion","se_prop"
"69","VSM","1","Sph pap","S. papillosum",2.5,0.481513072210586,0.111474867393743,0.0177174986954194
"70","VSM","1","Sph ten","S. tenellum",1.875,0.283092085781744,0.0896423948731313,0.0114674396622562
"71","VSM","1","Sph bal","S. balticum",0,0,0,0
"72","VSM","1","Sph com","S. compactum",0.25,0.109985336266015,0.0102459733893557,0.00446440000695027
"73","VSM","1","Sph div","S. divinum",0.03125,0.03125,0.00104166666666667,0.00104166666666667
"74","VSM","1","Sph maj","S. majus",0,0,0,0
"75","VSM","1","Sph rip","S. riparium",0,0,0,0
"76","VSM","1","Sph rus","S. russowi",0.6875,0.271040036918724,0.0320535714285714,0.0134390938945283
"77","VSM","1","Sph cf","S. cf",0,0,0,0
"78","VSM","2","Sph ang","S. angustifolium",30.8125,4.68642460782617,0.556126055446953,0.0513223998579885
"79","VSM","2","Sph cap","S. capillifolium",4.21875,1.03344707306305,0.106521678672875,0.0249349103828499
"80","VSM","2","Sph pap","S. papillosum",9.90625,2.6870955715953,0.210870104000392,0.0402361079167447
"81","VSM","2","Sph ten","S. tenellum",3.03125,0.532197920905493,0.0767159725092953,0.0187519865272589
"82","VSM","2","Sph bal","S. balticum",0,0,0,0
"83","VSM","2","Sph com","S. compactum",0.1875,0.1875,0.00220588235294118,0.00220588235294118
"84","VSM","2","Sph div","S. divinum",0.0625,0.0625,0.00520833333333333,0.00520833333333333
"85","VSM","2","Sph maj","S. majus",0.3125,0.3125,0.00328947368421053,0.00328947368421053
"86","VSM","2","Sph rip","S. riparium",0,0,0,0
"87","VSM","2","Sph rus","S. russowi",0,0,0,0
"88","VSM","2","Sph cf","S. cf",0.21875,0.166403942794092,0.0390625,0.0319663361708139
