"","t_year","year","Date","Location","Sublocation","Block","Treatment","Treatment_ID","Subplot","Microtopography","Sph_ang","Sph_cap","Sph_ten","Sph_pap","Sph_div","Sph_rus","Sph_com","Sph_maj","Sph_bal","Sph_fus","Sph_rip","Sph_cf","Total","Notat"
"51","2","2021",2021-09-13,"HM","2","3","S","S1","3","2",45,5,20,0,0,0,0,0,0,0,0,0,70,NA
"52","2","2021",2021-09-13,"HM","2","3","S","S1","4","2",30,2,20,1,0,0,0,0,0,0,0,0,53,NA
"53","2","2021",2021-09-13,"HM","2","3","S","S2","1","1",50,10,20,10,0,0,0,0,0,0,0,0,90,NA
"54","2","2021",2021-09-13,"HM","2","3","S","S2","2","2",60,20,10,2,0,0,0,0,0,0,0,0,92,NA
"55","2","2021",2021-09-13,"HM","2","3","S","S2","3","3",60,5,10,5,0,0,0,0,0,0,0,0,80,"sm<e5>rute 6"
"56","2","2021",2021-09-13,"HM","2","3","S","S2","4","2",30,2,30,5,0,0,0,0,0,0,0,0,67,NA
"57","2","2021",2021-09-13,"HM","2","4","S","S1","1","2",25,0,15,1,0,0,0,0,0,0,0,0,41,NA
"58","2","2021",2021-09-13,"HM","2","4","S","S1","2","2",35,10,15,15,0,0,0,0,0,0,0,0,75,NA
"59","2","2021",2021-09-13,"HM","2","4","S","S1","3","3",40,0,10,10,0,0,0,0,0,0,0,0,60,NA
"60","2","2021",2021-09-13,"HM","2","4","S","S1","4","2",60,0,30,0,0,0,0,0,0,0,0,0,90,NA
"61","2","2021",2021-09-13,"HM","2","4","S","S2","1","4",20,4,10,6,0,0,0,0,0,0,0,0,40,NA
"62","2","2021",2021-09-13,"HM","2","4","S","S2","2","3",15,5,5,0,0,0,0,0,0,0,0,0,25,NA
"63","2","2021",2021-09-13,"HM","2","4","S","S2","3","2",10,6,20,7,0,0,0,0,0,0,0,0,43,NA
"64","2","2021",2021-09-13,"HM","2","4","S","S2","4","4",15,10,10,10,0,0,0,0,0,0,0,0,45,NA
"65","2","2021",2021-09-13,"HM","3","1","S","S1","1","3",8,4,12,1,0,0,0,0,0,0,0,0,25,NA
"66","2","2021",2021-09-13,"HM","3","1","S","S1","2","3",10,15,10,4,0,0,0,0,0,0,0,0,39,NA
"67","2","2021",2021-09-13,"HM","3","1","S","S1","3","2",10,7,5,7,0,0,0,0,0,0,0,0,29,NA
"68","2","2021",2021-09-13,"HM","3","1","S","S1","4","3",5,5,8,2,0,0,0,0,0,0,0,0,20,NA
"69","2","2021",2021-09-13,"HM","3","1","S","S2","1","1",2,0,0,3,0,0,0,0,0,0,0,0,5,NA
"70","2","2021",2021-09-13,"HM","3","1","S","S2","2","3",12,3,6,1,0,0,0,0,0,0,0,0,22,NA
"71","2","2021",2021-09-13,"HM","3","1","S","S2","3","2",10,4,10,2,0,0,0,0,0,0,0,0,26,NA
"72","2","2021",2021-09-13,"HM","3","1","S","S2","4","1",10,2,0,0,0,0,0,0,0,0,0,0,12,NA
"73","2","2021",2021-09-13,"HM","3","2","S","S1","1","2",15,4,25,3,0,0,0,0,0,0,0,0,47,NA
"74","2","2021",2021-09-13,"HM","3","2","S","S1","2","2",10,5,20,1,0,0,0,0,0,0,0,0,36,NA
"75","2","2021",2021-09-13,"HM","3","2","S","S1","3","2",10,3,7,1,0,0,0,0,0,0,0,0,21,NA
"76","2","2021",2021-09-13,"HM","3","2","S","S1","4","6",5,5,25,0,0,0,0,0,0,0,0,0,35,NA
"77","2","2021",2021-09-13,"HM","3","2","S","S2","1","2",15,8,15,2,0,0,0,0,0,0,0,0,40,NA
"78","2","2021",2021-09-13,"HM","3","2","S","S2","2","3",6,1,10,1,0,0,0,0,0,0,0,0,18,NA
"79","2","2021",2021-09-13,"HM","3","2","S","S2","3","2",8,3,8,1,0,0,0,0,0,0,0,0,20,NA
"80","2","2021",2021-09-13,"HM","3","2","S","S2","4","4",5,5,15,2,0,0,0,0,0,0,0,0,27,NA
"81","2","2021",2021-09-13,"HM","3","3","S","S1","1","2",10,0,12,3,0,0,0,0,0,0,0,0,25,NA
"82","2","2021",2021-09-13,"HM","3","3","S","S1","2","2",4,3,12,1,0,0,0,0,0,0,0,0,20,NA
"83","2","2021",2021-09-13,"HM","3","3","S","S1","3","2",8,2,10,0,0,0,0,0,0,0,0,0,20,NA
"84","2","2021",2021-09-13,"HM","3","3","S","S1","4","2",6,2,5,2,0,0,0,0,0,0,0,0,15,NA
"85","2","2021",2021-09-13,"HM","3","3","S","S2","1","3",15,5,15,10,0,0,0,0,0,0,0,0,45,NA
"86","2","2021",2021-09-13,"HM","3","3","S","S2","2","2",10,3,10,0,0,0,0,0,0,0,0,0,23,NA
"87","2","2021",2021-09-13,"HM","3","3","S","S2","3","2",10,10,20,2,0,0,0,0,0,0,0,0,42,NA
"88","2","2021",2021-09-13,"HM","3","3","S","S2","4","3",10,2,10,2,0,0,0,0,0,0,0,0,24,NA
"89","2","2021",2021-09-13,"HM","3","4","S","S1","1","2",20,1,5,10,0,0,0,0,0,0,0,0,36,NA
"90","2","2021",2021-09-13,"HM","3","4","S","S1","2","2",10,5,15,5,0,0,0,0,0,0,0,0,35,NA
"91","2","2021",2021-09-13,"HM","3","4","S","S1","3","3",15,5,8,0,0,0,0,0,0,0,0,0,28,NA
"92","2","2021",2021-09-13,"HM","3","4","S","S1","4","2",20,10,10,5,0,0,0,0,0,0,0,0,45,NA
"93","2","2021",2021-09-13,"HM","3","4","S","S2","1","3",10,7,15,15,0,0,0,0,0,0,0,0,47,NA
"94","2","2021",2021-09-13,"HM","3","4","S","S2","2","3",5,5,25,3,0,0,0,0,0,0,0,0,38,NA
"95","2","2021",2021-09-13,"HM","3","4","S","S2","3","3",10,5,15,10,0,0,0,0,0,0,0,0,40,NA
"96","2","2021",2021-09-13,"HM","3","4","S","S2","4","3",0,5,15,0,0,0,0,0,0,0,0,0,20,NA
"97","2","2021",2021-09-15,"VSM","1","1","S","S1","1","4",8,2,1,1,0,0,0,0,0,0,0,0,12,NA
"98","2","2021",2021-09-15,"VSM","1","1","S","S1","2","3",3,1,1,1,0,0,0,0,0,0,0,0,6,NA
"99","2","2021",2021-09-15,"VSM","1","1","S","S1","3","3",4,0,4,0,0,0,0,0,0,0,0,0,8,NA
"100","2","2021",2021-09-15,"VSM","1","1","S","S1","4","2",4,1,3,1,0,0,0,0,0,0,0,0,9,NA
"101","2","2021",2021-09-15,"VSM","1","1","S","S2","1","6",2,3,1,0,0,0,0,0,0,0,0,0,6,NA
"102","2","2021",2021-09-15,"VSM","1","1","S","S2","2","4",6,6,7,1,0,0,0,0,0,0,0,0,20,NA
"103","2","2021",2021-09-15,"VSM","1","1","S","S2","3","5",3,1,3,0,0,0,0,0,0,0,0,0,7,NA
"104","2","2021",2021-09-15,"VSM","1","1","S","S2","4","6",3,0,3,0,0,0,0,0,0,0,0,0,6,NA
"105","2","2021",2021-09-15,"VSM","1","2","S","S1","1","3",7,0,0,0,0,0,0,0,0,0,0,0,7,NA
"106","2","2021",2021-09-15,"VSM","1","2","S","S1","2","4",4,1,2,0,0,0,0,0,0,0,0,0,7,NA
"107","2","2021",2021-09-15,"VSM","1","2","S","S1","3","3",5,2,3,0,0,0,0,0,0,0,0,0,8,NA
"108","2","2021",2021-09-15,"VSM","1","2","S","S1","4","3",5,2,2,1,0,0,0,0,0,0,0,0,10,NA
"109","2","2021",2021-09-15,"VSM","1","2","S","S2","1","4",5,1,1,1,0,0,0,0,0,0,0,0,8,NA
"110","2","2021",2021-09-15,"VSM","1","2","S","S2","2","3",3,1,2,0,0,0,0,0,0,0,0,0,6,NA
"111","2","2021",2021-09-15,"VSM","1","2","S","S2","3","5",4,3,0,0,0,0,0,0,0,0,0,0,7,NA
"112","2","2021",2021-09-15,"VSM","1","2","S","S2","4","3",5,3,1,0,0,0,0,0,0,0,0,0,9,NA
"113","2","2021",2021-09-15,"VSM","1","3","S","S1","1","4",4,1,1,1,0,0,0,0,0,0,0,0,7,NA
"114","2","2021",2021-09-15,"VSM","1","3","S","S1","2","6",5,1,1,0,0,0,0,0,0,0,0,0,7,NA
"115","2","2021",2021-09-15,"VSM","1","3","S","S1","3","4",5,1,1,0,0,0,0,0,0,0,0,0,7,NA
"116","2","2021",2021-09-15,"VSM","1","3","S","S1","4","5",6,2,1,0,0,0,0,0,0,0,0,0,9,NA
"117","2","2021",2021-09-15,"VSM","1","3","S","S2","1","4",5,2,1,1,0,0,0,0,0,0,0,0,9,NA
"118","2","2021",2021-09-15,"VSM","1","3","S","S2","2","4",3,1,1,1,0,0,0,0,0,0,0,0,6,NA
"119","2","2021",2021-09-15,"VSM","1","3","S","S2","3","6",1,2,0,1,0,0,0,0,0,0,0,0,4,"tr<e5>kk"
"120","2","2021",2021-09-15,"VSM","1","3","S","S2","4","5",5,0,0,0,0,0,0,0,0,0,0,0,5,NA
"121","2","2021",2021-09-15,"VSM","1","4","S","S1","1","3",5,1,1,2,0,0,0,0,0,0,0,0,9,NA
"122","2","2021",2021-09-15,"VSM","1","4","S","S1","2","6",6,1,1,2,0,0,0,0,0,0,0,0,10,"tr<e5>kk"
"123","2","2021",2021-09-15,"VSM","1","4","S","S1","3","6",3,0,0,0,0,0,0,0,0,0,0,0,3,NA
"124","2","2021",2021-09-15,"VSM","1","4","S","S1","4","6",2,3,1,0,0,0,0,0,0,0,0,0,6,NA
"125","2","2021",2021-09-15,"VSM","1","4","S","S2","1","3",3,2,0,2,0,0,0,0,0,0,0,0,7,NA
"126","2","2021",2021-09-15,"VSM","1","4","S","S2","2","4",3,2,1,1,0,0,0,0,0,0,0,0,7,NA
"127","2","2021",2021-09-15,"VSM","1","4","S","S2","3","6",5,1,0,0,0,0,0,0,0,0,0,0,6,NA
"128","2","2021",2021-09-15,"VSM","1","4","S","S2","4","6",1,1,0,1,0,0,0,0,0,0,0,0,3,NA
"129","2","2021",2021-09-15,"VSM","2","1","S","S1","1","2",8,1,3,15,0,0,0,0,0,0,0,0,27,NA
"130","2","2021",2021-09-15,"VSM","2","1","S","S1","2","2",10,0,7,4,0,0,0,0,0,0,0,0,21,NA
"131","2","2021",2021-09-15,"VSM","2","1","S","S1","3","2",5,1,5,35,0,0,0,0,0,0,0,0,46,"sm<e5>rute 5"
"132","2","2021",2021-09-15,"VSM","2","1","S","S1","4","1",10,10,10,10,0,0,0,0,0,0,0,0,40,NA
"133","2","2021",2021-09-15,"VSM","2","1","S","S2","1","4",5,5,3,2,0,0,0,0,0,0,0,0,15,"under torvull"
"134","2","2021",2021-09-15,"VSM","2","1","S","S2","2","4",5,8,5,2,0,0,0,0,0,0,0,0,20,NA
"135","2","2021",2021-09-15,"VSM","2","1","S","S2","3","2",35,7,3,10,0,0,0,0,0,0,0,0,55,"sm<e5>rute 6"
"136","2","2021",2021-09-15,"VSM","2","1","S","S2","4","3",15,3,5,2,0,0,0,0,0,0,0,0,25,NA
"137","2","2021",2021-09-15,"VSM","2","2","S","S1","1","6",0,1,0,1,0,0,0,0,0,0,0,0,2,NA
"138","2","2021",2021-09-15,"VSM","2","2","S","S1","2","2",8,10,5,3,0,2,0,0,0,0,0,0,28,NA
"139","2","2021",2021-09-15,"VSM","2","2","S","S1","3","3",12,6,15,2,0,0,0,0,0,0,0,0,35,NA
"140","2","2021",2021-09-15,"VSM","2","2","S","S1","4","6",13,2,5,5,0,0,0,0,0,0,0,0,25,NA
"141","2","2021",2021-09-15,"VSM","2","2","S","S2","1","2",5,5,25,15,0,0,0,0,0,0,0,0,50,NA
"142","2","2021",2021-09-15,"VSM","2","2","S","S2","2","4",10,3,8,6,0,0,0,0,0,0,0,0,27,NA
"143","2","2021",2021-09-15,"VSM","2","2","S","S2","3","2",4,3,4,0,0,0,0,0,0,0,0,0,11,NA
"144","2","2021",2021-09-15,"VSM","2","2","S","S2","4","6",1,3,4,3,0,0,0,0,0,0,0,0,11,NA
"145","2","2021",2021-09-15,"VSM","2","3","S","S1","1","6",3,0,1,1,0,2,0,0,0,0,0,0,7,NA
"146","2","2021",2021-09-15,"VSM","2","3","S","S1","2","6",1,2,3,3,0,0,0,0,0,0,0,0,9,NA
"147","2","2021",2021-09-15,"VSM","2","3","S","S1","3","4",5,3,1,2,0,0,0,0,0,0,0,0,11,NA
"148","2","2021",2021-09-15,"VSM","2","3","S","S1","4","5",7,1,0,0,0,0,0,0,0,0,0,0,8,NA
"149","2","2021",2021-09-15,"VSM","2","3","S","S2","1","4",7,1,2,0,0,0,0,0,0,0,0,0,11,NA
"150","2","2021",2021-09-15,"VSM","2","3","S","S2","2","4",10,10,0,0,0,0,0,0,0,0,0,0,20,NA
"151","2","2021",2021-09-15,"VSM","2","3","S","S2","3","3",15,10,2,0,0,0,0,0,0,0,0,0,27,NA
"152","2","2021",2021-09-15,"VSM","2","3","S","S2","4","3",35,5,5,5,0,0,0,0,0,0,0,0,50,"sm<e5>rute 7"
"153","2","2021",2021-09-15,"VSM","2","4","S","S1","1","1",0,1,0,4,0,0,0,0,0,0,0,0,10,NA
"154","2","2021",2021-09-15,"VSM","2","4","S","S1","2","1",0,0,0,0,0,0,0,0,0,0,0,0,9,NA
"155","2","2021",2021-09-15,"VSM","2","4","S","S1","3","3",2,0,0,3,0,0,0,0,0,0,0,0,6,"*samlet som cf. fallax"
"156","2","2021",2021-09-15,"VSM","2","4","S","S1","4","5",3,0,0,0,0,0,0,0,0,0,0,0,6,"tr<e5>kk, *samlet som cf. Fallax"
"157","2","2021",2021-09-15,"VSM","2","4","S","S2","1","6",6,4,1,1,0,0,0,0,0,0,0,0,12,NA
"158","2","2021",2021-09-15,"VSM","2","4","S","S2","2","5",1,3,0,1,0,0,0,0,0,0,0,0,5,NA
"159","2","2021",2021-09-15,"VSM","2","4","S","S2","3","6",7,3,0,1,0,0,0,0,0,0,0,0,11,"tr<e5>kk"
"160","2","2021",2021-09-15,"VSM","2","4","S","S2","4","4",7,1,0,0,0,0,0,0,0,0,0,0,8,NA
"161","3","2022",2022-09-20,"VSM","1","1","S","S1","1",NA,20,4,2,4,0,0,0,0,0,0,0,0,30,NA
"162","3","2022",2022-09-20,"VSM","1","1","S","S1","2",NA,7,6,2,1,0,0,1,0,0,0,0,0,17,NA
"163","3","2022",2022-09-20,"VSM","1","1","S","S1","3",NA,30,5,5,2,0,0,3,0,0,0,0,0,45,NA
"164","3","2022",2022-09-20,"VSM","1","1","S","S1","4",NA,20,5,7,8,0,0,0,0,0,0,0,0,40,NA
"165","3","2022",2022-09-20,"VSM","1","1","S","S2","1",NA,6,3,2,4,0,0,0,0,0,0,0,0,15,NA
"166","3","2022",2022-09-20,"VSM","1","1","S","S2","2",NA,15,3,2,1,0,0,0,0,0,0,0,0,21,NA
"167","3","2022",2022-09-20,"VSM","1","1","S","S2","3",NA,10,15,2,0,0,0,0,0,0,0,0,0,27,NA
"168","3","2022",2022-09-20,"VSM","1","1","S","S2","4",NA,9,4,4,1,0,0,0,0,0,0,0,0,18,NA
"169","3","2022",2022-09-20,"VSM","1","2","S","S1","1"," ",10,1,1,1,0,0,0,0,0,0,0,0,13,NA
"170","3","2022",2022-09-20,"VSM","1","2","S","S1","2",NA,4,3,1,2,0,0,0,0,0,0,0,0,10,NA
"171","3","2022",2022-09-20,"VSM","1","2","S","S1","3",NA,6,3,1,0,0,0,0,0,0,0,0,0,10,NA
"172","3","2022",2022-09-20,"VSM","1","2","S","S1","4",NA,8,6,1,1,0,0,0,0,0,0,0,0,16,NA
"173","3","2022",2022-09-20,"VSM","1","2","S","S2","1",NA,6,2,2,0,0,0,0,0,0,0,0,0,10,NA
"174","3","2022",2022-09-20,"VSM","1","2","S","S2","2",NA,10,7,1,1,0,0,0,0,0,0,0,0,19,NA
"175","3","2022",2022-09-20,"VSM","1","2","S","S2","3",NA,20,2,1,0,0,0,0,0,0,0,0,0,23,NA
"176","3","2022",2022-09-20,"VSM","1","2","S","S2","4",NA,6,3,1,3,0,0,0,0,0,0,0,0,13,NA
"177","3","2022",2022-09-20,"VSM","1","3","S","S1","1",NA,38,5,2,10,0,0,0,0,0,0,0,0,55,NA
"178","3","2022",2022-09-20,"VSM","1","3","S","S1","2",NA,20,0,1,0,0,0,0,0,0,0,0,0,21,NA
"179","3","2022",2022-09-20,"VSM","1","3","S","S1","3",NA,16,3,3,8,0,0,0,0,0,0,0,0,30,NA
"180","3","2022",2022-09-20,"VSM","1","3","S","S1","4",NA,22,2,1,3,1,0,1,0,0,0,0,0,30,NA
"181","3","2022",2022-09-20,"VSM","1","3","S","S2","1",NA,12,2,1,0,0,0,0,0,0,0,0,0,15,NA
"182","3","2022",2022-09-20,"VSM","1","3","S","S2","2",NA,3,2,0,0,0,0,0,0,0,0,0,0,5,NA
"183","3","2022",2022-09-20,"VSM","1","3","S","S2","3",NA,8,0,1,3,0,0,0,0,0,0,0,0,12,NA
"184","3","2022",2022-09-20,"VSM","1","3","S","S2","4",NA,5,2,0,1,0,0,0,0,0,0,0,0,8,NA
"185","3","2022",2022-09-20,"VSM","1","4","S","S1","1",NA,38,0,2,8,0,2,0,0,0,0,0,0,50,NA
"186","3","2022",2022-09-20,"VSM","1","4","S","S1","2",NA,12,0,0,3,0,0,0,0,0,0,0,0,15,NA
"187","3","2022",2022-09-20,"VSM","1","4","S","S1","3",NA,35,0,1,2,0,6,1,0,0,0,0,0,45,NA
"188","3","2022",2022-09-20,"VSM","1","4","S","S1","4",NA,15,0,6,4,0,5,0,0,0,0,0,0,25,NA
"189","3","2022",2022-09-20,"VSM","1","4","S","S2","1",NA,10,0,2,5,0,3,0,0,0,0,0,0,20,NA
"190","3","2022",2022-09-20,"VSM","1","4","S","S2","2",NA,0,0,2,3,0,3,1,0,0,0,0,0,9,NA
"191","3","2022",2022-09-20,"VSM","1","4","S","S2","3",NA,10,0,2,1,0,2,0,0,0,0,0,0,15,NA
"192","3","2022",2022-09-20,"VSM","1","4","S","S2","4",NA,25,1,1,0,0,1,1,0,0,0,0,0,28,NA
"193","3","2022",2022-09-20,"VSM","2","1","S","S1","1",NA,5,0,0,75,0,0,0,0,0,0,0,0,80,NA
"194","3","2022",2022-09-20,"VSM","2","1","S","S1","2",NA,60,5,5,10,0,0,0,0,0,0,0,0,80,NA
"195","3","2022",2022-09-20,"VSM","2","1","S","S1","3",NA,50,0,10,35,0,0,0,0,0,0,0,0,95,"vann"
"196","3","2022",2022-09-20,"VSM","2","1","S","S1","4",NA,5,0,0,5,2,0,0,0,0,0,0,0,12,"vann 50%"
"197","3","2022",2022-09-20,"VSM","2","1","S","S2","1",NA,10,0,2,2,0,0,0,0,0,0,0,0,14,NA
"198","3","2022",2022-09-20,"VSM","2","1","S","S2","2",NA,70,0,5,7,0,0,0,0,0,0,0,0,82,NA
"199","3","2022",2022-09-20,"VSM","2","1","S","S2","3",NA,30,0,1,25,0,0,0,0,0,0,0,0,56,NA
"200","3","2022",2022-09-20,"VSM","2","1","S","S2","4",NA,80,2,3,5,0,0,0,0,0,0,0,0,90,NA
"201","3","2022",2022-09-20,"VSM","2","2","S","S1","1",NA,4,4,2,4,0,0,0,0,0,0,0,0,14,NA
"202","3","2022",2022-09-20,"VSM","2","2","S","S1","2",NA,10,6,1,5,0,0,0,0,0,0,0,0,22,NA
"203","3","2022",2022-09-20,"VSM","2","2","S","S1","3",NA,40,16,1,13,0,0,0,0,0,0,0,0,70,NA
"204","3","2022",2022-09-20,"VSM","2","2","S","S1","4",NA,65,10,2,2,0,0,6,0,0,0,0,0,85,NA
"205","3","2022",2022-09-20,"VSM","2","2","S","S2","1",NA,20,20,10,35,0,0,0,0,0,0,0,0,85,NA
"206","3","2022",2022-09-20,"VSM","2","2","S","S2","2",NA,1,5,2,2,0,0,0,0,0,0,0,0,10,NA
"207","3","2022",2022-09-20,"VSM","2","2","S","S2","3",NA,15,8,5,5,0,0,0,0,0,0,0,0,33,NA
"208","3","2022",2022-09-20,"VSM","2","2","S","S2","4",NA,1,0,4,2,0,0,0,0,0,0,0,0,7,NA
"209","3","2022",2022-09-20,"VSM","2","3","S","S1","1",NA,50,7,1,4,0,0,0,0,0,0,0,0,62,NA
"210","3","2022",2022-09-20,"VSM","2","3","S","S1","2",NA,10,3,1,2,0,0,0,0,0,0,0,0,16,NA
"211","3","2022",2022-09-20,"VSM","2","3","S","S1","3",NA,15,13,5,2,0,0,0,0,0,0,0,0,35,NA
"212","3","2022",2022-09-20,"VSM","2","3","S","S1","4",NA,30,15,5,3,0,0,0,0,0,0,0,0,53,NA
"213","3","2022",2022-09-20,"VSM","2","3","S","S2","1",NA,50,0,5,0,0,0,0,0,0,0,0,0,55,NA
"214","3","2022",2022-09-20,"VSM","2","3","S","S2","2",NA,70,0,10,5,0,0,0,10,0,0,0,0,95,NA
"215","3","2022",2022-09-20,"VSM","2","3","S","S2","3",NA,75,0,5,0,0,0,0,0,0,0,0,0,80,NA
"216","3","2022",2022-09-20,"VSM","2","3","S","S2","4",NA,75,0,5,10,0,0,0,0,0,0,0,0,90,NA
"217","3","2022",2022-09-20,"VSM","2","4","S","S1","1",NA,0,0,0,6,0,0,0,0,0,0,0,2,8,NA
"218","3","2022",2022-09-20,"VSM","2","4","S","S1","2",NA,10,0,0,15,0,0,0,0,0,0,0,0,25,NA
"219","3","2022",2022-09-20,"VSM","2","4","S","S1","3",NA,15,1,0,0,0,0,0,0,0,0,0,0,16,NA
"220","3","2022",2022-09-20,"VSM","2","4","S","S1","4",NA,0,0,0,0,0,0,0,0,0,0,0,5,5,NA
