Name;Station;Time;Precipitation
Overhalla - Unnset;SN72650;2019-05-03;4
Overhalla - Unnset;SN72650;2019-05-04;1.7
Overhalla - Unnset;SN72650;2019-05-05;10.4
Overhalla - Unnset;SN72650;2019-05-06;0.1
Overhalla - Unnset;SN72650;2019-05-07;0.1
Overhalla - Unnset;SN72650;2019-05-08;20.2
Overhalla - Unnset;SN72650;2019-05-09;4.2
Overhalla - Unnset;SN72650;2019-05-10;0.6
Overhalla - Unnset;SN72650;2019-05-11;0.2
Overhalla - Unnset;SN72650;2019-05-12;4.2
Overhalla - Unnset;SN72650;2019-05-13;3.5
Overhalla - Unnset;SN72650;2019-05-14;4
Overhalla - Unnset;SN72650;2019-05-15;3.4
Overhalla - Unnset;SN72650;2019-05-16;0.5
Overhalla - Unnset;SN72650;2019-05-17;0
Overhalla - Unnset;SN72650;2019-05-18;0
Overhalla - Unnset;SN72650;2019-05-19;0
Overhalla - Unnset;SN72650;2019-05-20;3
Overhalla - Unnset;SN72650;2019-05-21;0
Overhalla - Unnset;SN72650;2019-05-22;0
Overhalla - Unnset;SN72650;2019-05-23;0.2
Overhalla - Unnset;SN72650;2019-05-24;4.8
Overhalla - Unnset;SN72650;2019-05-25;1.7
Overhalla - Unnset;SN72650;2019-05-26;0
Overhalla - Unnset;SN72650;2019-05-27;0.2
Overhalla - Unnset;SN72650;2019-05-28;1.5
Overhalla - Unnset;SN72650;2019-05-29;14.5
Overhalla - Unnset;SN72650;2019-05-30;3.2
Overhalla - Unnset;SN72650;2019-05-31;15.5
Overhalla - Unnset;SN72650;2019-06-01;9.4
Overhalla - Unnset;SN72650;2019-06-02;0.9
Overhalla - Unnset;SN72650;2019-06-03;0
Overhalla - Unnset;SN72650;2019-06-04;8.6
Overhalla - Unnset;SN72650;2019-06-05;1.7
Overhalla - Unnset;SN72650;2019-06-06;0
Overhalla - Unnset;SN72650;2019-06-07;1.1
Overhalla - Unnset;SN72650;2019-06-08;15.7
Overhalla - Unnset;SN72650;2019-06-09;9
Overhalla - Unnset;SN72650;2019-06-10;1.8
Overhalla - Unnset;SN72650;2019-06-11;0
Overhalla - Unnset;SN72650;2019-06-12;0
Overhalla - Unnset;SN72650;2019-06-13;2
Overhalla - Unnset;SN72650;2019-06-14;1.7
Overhalla - Unnset;SN72650;2019-06-15;0.4
Overhalla - Unnset;SN72650;2019-06-16;0
Overhalla - Unnset;SN72650;2019-06-17;0.4
Overhalla - Unnset;SN72650;2019-06-18;7.1
Overhalla - Unnset;SN72650;2019-06-19;7.3
Overhalla - Unnset;SN72650;2019-06-20;0.7
Overhalla - Unnset;SN72650;2019-06-21;6.5
Overhalla - Unnset;SN72650;2019-06-22;2
Overhalla - Unnset;SN72650;2019-06-23;5.3
Overhalla - Unnset;SN72650;2019-06-24;4.8
Overhalla - Unnset;SN72650;2019-06-25;0
Overhalla - Unnset;SN72650;2019-06-26;0
Overhalla - Unnset;SN72650;2019-06-27;4.5
Overhalla - Unnset;SN72650;2019-06-28;2.7
Overhalla - Unnset;SN72650;2019-06-29;8
Overhalla - Unnset;SN72650;2019-06-30;5
Overhalla - Unnset;SN72650;2019-07-01;12.9
Overhalla - Unnset;SN72650;2019-07-02;4.5
Overhalla - Unnset;SN72650;2019-07-03;7.6
Overhalla - Unnset;SN72650;2019-07-04;11.1
Overhalla - Unnset;SN72650;2019-07-05;2.2
Overhalla - Unnset;SN72650;2019-07-06;0.1
Overhalla - Unnset;SN72650;2019-07-07;0
Overhalla - Unnset;SN72650;2019-07-08;1.2
Overhalla - Unnset;SN72650;2019-07-09;0
Overhalla - Unnset;SN72650;2019-07-10;0
Overhalla - Unnset;SN72650;2019-07-11;0
Overhalla - Unnset;SN72650;2019-07-12;0
Overhalla - Unnset;SN72650;2019-07-13;0.1
Overhalla - Unnset;SN72650;2019-07-14;0.2
Overhalla - Unnset;SN72650;2019-07-15;1.4
