"","Location","Sublocation","Block","Treatment","Logger_ID","year","DateTime","soil_gs_mean","soil_gs_max","soil_gs_min"
"74","HM","3","1","M","20857989",2021,2021-01-01,13.5984991830065,27.764,0.343
"75","HM","3","2","C","20857978",2020,2020-01-01,13.7473049450549,23.581,6.877
"76","HM","3","2","M","20857997",2020,2020-01-01,13.4496456043956,23.196,5.141
"77","HM","3","2","M","20857997",2021,2021-01-01,13.282068627451,26.781,0.121
"78","HM","3","3","C","20858013",2020,2020-01-01,13.0210673076923,21.473,4.934
"79","HM","3","3","C","20858013",2021,2021-01-01,12.6877508169935,23.869,0.121
"80","HM","3","3","C","20858013",2022,2022-01-01,12.5770225303293,24.738,1.656
"81","HM","3","3","M","20858014",2020,2020-01-01,13.1563543956044,21.951,4.934
"82","HM","3","3","M","20858014",2021,2021-01-01,12.8074248366013,26.292,0.01
"83","HM","3","4","M","20857993",2020,2020-01-01,12.9538035714286,22.525,5.037
"84","HM","3","4","M","20857993",2021,2021-01-01,12.7589754901961,23.196,0.232
"85","VSM","1","1","C","20857968",2020,2020-01-01,12.2900274725275,23.004,3.155
"86","VSM","1","1","C","20857968",2021,2021-01-01,12.6251244483672,26.292,-0.437
"87","VSM","1","1","M","20858006",2020,2020-01-01,12.735592032967,23.196,4.415
"88","VSM","1","1","M","20858006",2021,2021-01-01,12.617216503268,30.255,-0.437
"89","VSM","1","2","C","20857965",2020,2020-01-01,12.5530343406593,23.196,4.102
"90","VSM","1","2","C","20857965",2021,2021-01-01,12.7443104575163,34.479,-0.437
"91","VSM","1","2","M","20857998",2020,2020-01-01,12.3549587912088,22.429,4.207
"92","VSM","1","2","M","20857998",2021,2021-01-01,12.6065955882353,32.394,-2.03
"93","VSM","1","3","C","20857955",2020,2020-01-01,12.3969203296703,23.581,3.261
"94","VSM","1","3","C","20857955",2021,2021-01-01,12.5361315359477,32.911,0.121
"95","VSM","1","3","M","20857966",2020,2020-01-01,12.1947554945055,21.378,4.727
"96","VSM","1","3","M","20857966",2021,2021-01-01,12.1719191176471,23.581,-0.325
"97","VSM","1","4","C","20858012",2020,2020-01-01,12.4842376373626,24.738,2.837
"98","VSM","1","4","C","20858012",2021,2021-01-01,12.8460849673203,34.163,-2.494
"99","VSM","1","4","M","20858005",2020,2020-01-01,12.3176744505495,21.091,4.207
"100","VSM","1","4","M","20858005",2021,2021-01-01,12.4761846405229,24.738,0.01
"101","VSM","1","4","M","20858005",2022,2022-01-01,12.1122738853503,23.484,0.784
"102","VSM","2","1","C","20857963",2020,2020-01-01,13.0838667582418,25.513,3.788
"103","VSM","2","1","C","20857963",2021,2021-01-01,13.0584027777778,34.691,-0.549
"104","VSM","2","1","M","20858008",2020,2020-01-01,12.9955395284327,26.879,2.73
"105","VSM","2","1","M","20858008",2021,2021-01-01,13.6092826797386,30.76,0.01
"106","VSM","2","2","C","20857995",2020,2020-01-01,12.6757582417582,23.677,5.141
"107","VSM","2","2","C","20857995",2021,2021-01-01,12.4567214052288,25.028,0.01
"108","VSM","2","3","C","20857987",2020,2020-01-01,12.498293956044,24.738,2.303
"109","VSM","2","3","C","20857987",2021,2021-01-01,12.9510098039216,35.756,-2.727
"110","VSM","2","3","M","20858003",2020,2020-01-01,13.3898063186813,26.292,4.311
"111","VSM","2","3","M","20858003",2021,2021-01-01,13.6868586601307,36.946,-2.377
"112","VSM","2","4","C","20858001",2020,2020-01-01,12.9581497252747,23.677,4.831
"113","VSM","2","4","M","20858015",2020,2020-01-01,13.2525576923077,24.931,3.998
