Date;Location;Sublocation;Block;Treatment;Subplot;Microtopography;Sph_ang;Sph_cap;Sph_ten;Sph_pap;Sph_div;Sph_rus;Sph_com;Sph_maj;Sph_bal;Sph_fus;Sph_rip;Sph_cf;Total;Notat
07.09.2023;BSM;2;3;S1;3;;40;30;12;8;;;;;5;;;;95;
07.09.2023;BSM;2;3;S1;4;;37;30;20;6;;;;;2;;;;95;
07.09.2023;BSM;2;3;S2;1;;16;7;5;2;;;;;;;;;30;
07.09.2023;BSM;2;3;S2;2;;45;32;8;10;;;;;;;;;95;
07.09.2023;BSM;2;3;S2;3;;18;12;30;25;;;;;;;;;85;
07.09.2023;BSM;2;3;S2;4;;20;20;40;5;;;;;;;;;85;
07.09.2023;BSM;2;4;S1;1;;15;25;15;25;;;;;;;;;80;
07.09.2023;BSM;2;4;S1;2;;15;12;10;3;;;;;;;;;40;
07.09.2023;BSM;2;4;S1;3;;50;20;15;10;;;;;;;;;95;
07.09.2023;BSM;2;4;S1;4;;35;30;20;5;;;;;;;;;90;
07.09.2023;BSM;2;4;S2;1;;45;15;13;10;;;2;;;;;;85;
07.09.2023;BSM;2;4;S2;2;;15;15;5;2;;;;;3;;;;40;
07.09.2023;BSM;2;4;S2;3;;30;15;30;3;;;;;2;;;;80;
07.09.2023;BSM;2;4;S2;4;;30;15;25;25;;;;;;;;;95;
07.09.2023;BSM;3;1;S1;1;;53;15;10;15;;;2;;;;;5;100;
07.09.2023;BSM;3;1;S1;2;;4;1;0;5;;;;;;;;;10;
07.09.2023;BSM;3;1;S1;3;;30;20;15;30;;;;;3;;;;98;
07.09.2023;BSM;3;1;S1;4;;28;15;35;15;;;;;2;;;;95;
07.09.2023;BSM;3;1;S2;1;;35;10;25;5;;;;;;;;;75;
07.09.2023;BSM;3;1;S2;2;;60;15;5;10;;;;;10;;;;100;
07.09.2023;BSM;3;1;S2;3;;25;10;20;15;;;;;;;;;70;
07.09.2023;BSM;3;1;S2;4;;30;16;30;4;;;;;;;;;80;
07.09.2023;BSM;3;2;S1;1;;40;35;10;10;;;;;;;;;95;
07.09.2023;BSM;3;2;S1;2;;8;15;2;5;;;;;;;;;30;
07.09.2023;BSM;3;2;S1;3;;60;5;5;10;;;;;;;;;80;
07.09.2023;BSM;3;2;S1;4;;40;25;10;5;;;;;;;;;80;
07.09.2023;BSM;3;2;S2;1;;65;10;5;20;;;;;;;;;100;
07.09.2023;BSM;3;2;S2;2;;68;2;0;10;;;;;;;;;80;
07.09.2023;BSM;3;2;S2;3;;30;15;0;5;;;;;;;;;50;
07.09.2023;BSM;3;2;S2;4;;60;10;0;30;;;;;;;;;100;
07.09.2023;BSM;3;3;S1;1;;10;20;20;40;;;;;;;;;90;
07.09.2023;BSM;3;3;S1;2;;10;40;35;5;;;5;;;;;;95;
07.09.2023;BSM;3;3;S1;3;;5;20;20;25;;;;;;;;;70;
07.09.2023;BSM;3;3;S1;4;;25;25;20;10;;;;;;;;;80;
07.09.2023;BSM;3;3;S2;1;;10;20;33;15;;;2;;;;;;80;
07.09.2023;BSM;3;3;S2;2;;20;15;32;10;;;3;;;;;;80;
07.09.2023;BSM;3;3;S2;3;;5;13;35;20;;;2;;;;;;75;
07.09.2023;BSM;3;3;S2;4;;5;30;20;10;;;;;;;;;65;
07.09.2023;BSM;3;4;S1;1;;30;20;10;10;;;;;;;;;70;
07.09.2023;BSM;3;4;S1;2;;15;15;10;10;;;;;;;;;50;
07.09.2023;BSM;3;4;S1;3;;25;10;25;10;;;;;;;;;70;
07.09.2023;BSM;3;4;S1;4;;25;20;5;20;;;;;;;;;70;
07.09.2023;BSM;3;4;S2;1;;15;10;25;20;;;;;;;;;70;
07.09.2023;BSM;3;4;S2;2;;10;5;10;15;;;;;;;;;40;
07.09.2023;BSM;3;4;S2;3;;15;10;30;15;;;10;;;;;;80;
07.09.2023;BSM;3;4;S2;4;;15;20;40;5;;;5;;;;;;85;
