Date;Location;Sublocation;Block;Treatment;Subplot;Microtopography;Sph_ang;Sph_cap;Sph_ten;Sph_pap;Sph_div;Sph_rus;Sph_com;Sph_maj;Sph_bal;Sph_fus;Sph_rip;Sph_cf;Total;Notat
15.09.2021;VSM;2;3;S2;3;3;15;10;2;;;;;;;;;;27;
15.09.2021;VSM;2;3;S2;4;3;35;5;5;5;;;;;;;;;50;smårute 7
15.09.2021;VSM;2;4;S1;1;1;5*;1;0;4;;;;;;;;;10;
15.09.2021;VSM;2;4;S1;2;1;9*;;;;;;;;;;;;9;
15.09.2021;VSM;2;4;S1;3;3;2;0;;3;;;;;;;;1*;6;*samlet som cf. fallax
15.09.2021;VSM;2;4;S1;4;5;3;;;;;;;;;;;3*;6;tråkk, *samlet som cf. Fallax
15.09.2021;VSM;2;4;S2;1;6;6;4;1;1;;;;;;;;;12;
15.09.2021;VSM;2;4;S2;2;5;1;3;;1;;;;;;;;;5;
15.09.2021;VSM;2;4;S2;3;6;7;3;;1;;;;;;;;;11;tråkk
15.09.2021;VSM;2;4;S2;4;4;7;1;;;;;;;;;;;8;
20.09.2022;VSM;1;1;S1;1;;20;4;2;4;;;;;;;;;30;
20.09.2022;VSM;1;1;S1;2;;7;6;2;1;;;1;;;;;;17;
20.09.2022;VSM;1;1;S1;3;;30;5;5;2;;;3;;;;;;45;
20.09.2022;VSM;1;1;S1;4;;20;5;7;8;;;;;;;;;40;
20.09.2022;VSM;1;1;S2;1;;6;3;2;4;;;;;;;;;15;
20.09.2022;VSM;1;1;S2;2;;15;3;2;1;;;;;;;;;21;
20.09.2022;VSM;1;1;S2;3;;10;15;2;0;;;;;;;;;27;
20.09.2022;VSM;1;1;S2;4;;9;4;4;1;;;;;;;;;18;
20.09.2022;VSM;1;2;S1;1; ;10;1;1;1;;;;;;;;;13;
20.09.2022;VSM;1;2;S1;2;;4;3;1;2;;;;;;;;;10;
20.09.2022;VSM;1;2;S1;3;;6;3;1;0;;;;;;;;;10;
20.09.2022;VSM;1;2;S1;4;;8;6;1;1;;;;;;;;;16;
20.09.2022;VSM;1;2;S2;1;;6;2;2;0;;;;;;;;;10;
20.09.2022;VSM;1;2;S2;2;;10;7;1;1;  ;                      ;;;;;;;19;
20.09.2022;VSM;1;2;S2;3;;20;2;1;0;;;;;;;;;23;
20.09.2022;VSM;1;2;S2;4;;6;3;1;3;;;;;;;;;13;
20.09.2022;VSM;1;3;S1;1;;38;5;2;10;;;;;;;;;55;
20.09.2022;VSM;1;3;S1;2;;20;0;1;0;;;;;;;;;21;
20.09.2022;VSM;1;3;S1;3;;16;3;3;8;;;;;;;;;30;
20.09.2022;VSM;1;3;S1;4;;22;2;1;3;1;;1;;;;;;30;
20.09.2022;VSM;1;3;S2;1;;12;2;1;0;;;;;;;;;15;
20.09.2022;VSM;1;3;S2;2;;3;2;0;0;;;;;;;;;5;
20.09.2022;VSM;1;3;S2;3;;8;0;1;3;;;;;;;;;12;
20.09.2022;VSM;1;3;S2;4;;5;2;0;1;;;;;;;;;8;
20.09.2022;VSM;1;4;S1;1;;38;0;2;8;;2;;;;;;;50;
20.09.2022;VSM;1;4;S1;2;;12;0;0;3;;;;;;;;;15;
20.09.2022;VSM;1;4;S1;3;;35;0;1;2;;6;1;;;;;;45;
20.09.2022;VSM;1;4;S1;4;;15;0;6;4;;5;;;;;;;25;
20.09.2022;VSM;1;4;S2;1;;10;0;2;5;;3;;;;;;;20;
20.09.2022;VSM;1;4;S2;2;;0;0;2;3;;3;1;;;;;;9;
20.09.2022;VSM;1;4;S2;3;;10;0;2;1;;2;;;;;;;15;
20.09.2022;VSM;1;4;S2;4;;25;1;1;0;;1;1;;;;;;28;
20.09.2022;VSM;2;1;S1;1;;5;0;0;75;;;;;;;;;80;
20.09.2022;VSM;2;1;S1;2;;60;5;5;10;;;;;;;;;80;
20.09.2022;VSM;2;1;S1;3;;50;0;10;35;;;;;;;;;95;vann
20.09.2022;VSM;2;1;S1;4;;5;0;0;5;2;;;;;;;;12;vann 50%
20.09.2022;VSM;2;1;S2;1;;10;0;2;2;;;;;;;;;14;
20.09.2022;VSM;2;1;S2;2;;70;0;5;7;;;;;;;;;82;
20.09.2022;VSM;2;1;S2;3;;30;0;1;25;;;;;;;;;56;
20.09.2022;VSM;2;1;S2;4;;80;2;3;5;;;;;;;;;90;
20.09.2022;VSM;2;2;S1;1;;4;4;2;4;;;;;;;;;14;
20.09.2022;VSM;2;2;S1;2;;10;6;1;5;;;;;;;;;22;
20.09.2022;VSM;2;2;S1;3;;40;16;1;13;;;;;;;;;70;
20.09.2022;VSM;2;2;S1;4;;65;10;2;2;;;6;;;;;;85;
20.09.2022;VSM;2;2;S2;1;;20;20;10;35;;;;;;;;;85;
20.09.2022;VSM;2;2;S2;2;;1;5;2;2;;;;;;;;;10;
20.09.2022;VSM;2;2;S2;3;;15;8;5;5;;;;;;;;;33;
20.09.2022;VSM;2;2;S2;4;;1;0;4;2;;;;;;;;;7;
20.09.2022;VSM;2;3;S1;1;;50;7;1;4;;;;;;;;;62;
20.09.2022;VSM;2;3;S1;2;;10;3;1;2;;;;;;;;;16;
20.09.2022;VSM;2;3;S1;3;;15;13;5;2;;;;;;;;;35;
20.09.2022;VSM;2;3;S1;4;;30;15;5;3;;;;;;;;;53;
20.09.2022;VSM;2;3;S2;1;;50;0;5;0;;;;;;;;;55;
20.09.2022;VSM;2;3;S2;2;;70;0;10;5;;;;10;;;;;95;
20.09.2022;VSM;2;3;S2;3;;75;0;5;0;;;;;;;;;80;
20.09.2022;VSM;2;3;S2;4;;75;0;5;10;;;;;;;;;90;
20.09.2022;VSM;2;4;S1;1;;0;0;0;6;;;;;;;;2;8;
20.09.2022;VSM;2;4;S1;2;;10;0;0;15;;;;;;;;;25;
20.09.2022;VSM;2;4;S1;3;;15;1;0;0;;;;;;;;;16;
20.09.2022;VSM;2;4;S1;4;;0;0;0;0;;;;;;;;5;5;
20.09.2022;VSM;2;4;S2;1;;25;15;2;3;;;;;;;;;45;
20.09.2022;VSM;2;4;S2;2;;50;0;0;25;;;;;;;;;75;
20.09.2022;VSM;2;4;S2;3;;10;0;0;0;;;;;;;;;10;
20.09.2022;VSM;2;4;S2;4;;35;5;5;10;;;;;;;;;55;
15.09.2022;HM;1;1;S1;1;;10;0;0;5;;;;;;;;;15;
15.09.2022;HM;1;1;S1;2;;58;10;25;5;;;;;;;;;98;
15.09.2022;HM;1;1;S1;3;;55;10;20;5;;;;;;;;;90;
15.09.2022;HM;1;1;S1;4;;65;3;2;0;;;;;;;;;70;
15.09.2022;HM;1;1;S2;1;;30;12;3;5;;;;;;;;;40;
15.09.2022;HM;1;1;S2;2;;65;13;2;5;;;;;;;;;85;
15.09.2022;HM;1;1;S2;3;;35;10;2;3;;;;;;;;;50;
15.09.2022;HM;1;1;S2;4;;50;25;5;5;;;;;;;;;75;
15.09.2022;HM;1;2;S1;1;;45;15;8;3;;;;;;;;;70;
15.09.2022;HM;1;2;S1;2;;25;0;0;5;;;;;;;;;30;vann
15.09.2022;HM;1;2;S1;3;;10;10;8;12;;;;;;;;;40;
15.09.2022;HM;1;2;S1;4;;25;5;10;10;;;;;;;;;50;
15.09.2022;HM;1;2;S2;1;;40;25;25;8;;;;;;;;;98;
15.09.2022;HM;1;2;S2;2;;25;10;25;30;;;;;;;;;90;
15.09.2022;HM;1;2;S2;3;;48;25;2;20;;;;;;;;;95;
15.09.2022;HM;1;2;S2;4;;20;30;15;30;;;;;;;;;95;
15.09.2022;HM;1;3;S1;1;;15;18;15;2;;;;;;;;;50;
15.09.2022;HM;1;3;S1;2;;20;15;15;5;;;;;;;;;55;
15.09.2022;HM;1;3;S1;3;;10;10;25;3;;;;;;;;;48;
15.09.2022;HM;1;3;S1;4;;10;3;2;12;3;;;;;;;;30;
15.09.2022;HM;1;3;S2;1;;19;5;1;0;;;;;;;;;25;
15.09.2022;HM;1;3;S2;2;;19;5;1;0;;;;;;;;;23;
15.09.2022;HM;1;3;S2;3;;15;3;5;0;;;;;;;;;20;
15.09.2022;HM;1;3;S2;4;;30;20;20;5;;;;;;;;;75;
15.09.2022;HM;1;4;S1;1;;22;4;3;1;;;;;;;;;30;
15.09.2022;HM;1;4;S1;2;;20;4;1;2;;;;;;;;;27;
15.09.2022;HM;1;4;S1;3;;10;5;5;0;;;;;;;;;20;
15.09.2022;HM;1;4;S1;4;;15;10;5;0;;;;;;;;;30;
15.09.2022;HM;1;4;S2;1;;25;10;10;0;;;;;;;;;45;
15.09.2022;HM;1;4;S2;2;;55;15;20;2;;;;;;;;;92;
15.09.2022;HM;1;4;S2;3;;11;0;3;1;;;;;;;;;15;
15.09.2022;HM;1;4;S2;4;;15;3;15;1;;;;;;;;;34;
15.09.2022;HM;2;1;S1;1;;100;0;0;0;;;;;;;;;100;
15.09.2022;HM;2;1;S1;2;;100;0;0;0;;;;;;;;;100;
15.09.2022;HM;2;1;S1;3;;95;5;0;0;;;;;;;;;100;
15.09.2022;HM;2;1;S1;4;;100;;0;0;;;;;;;;;100;
15.09.2022;HM;2;1;S2;1;;48;;0;2;;;;;;;;;50;
15.09.2022;HM;2;1;S2;2;;100;;0;0;;;;;;;;;100;
15.09.2022;HM;2;1;S2;3;;92;;2;6;;;;;;;;;100;
15.09.2022;HM;2;1;S2;4;;95;;0;5;;;;;;;;;100;
15.09.2022;HM;2;2;S1;1;;40;8;1;1;;;;;;;;;50;
15.09.2022;HM;2;2;S1;2;;62;10;5;3;;;;;;;;;80;
15.09.2022;HM;2;2;S1;3;;50;10;5;5;;;;;;;;;70;
15.09.2022;HM;2;2;S1;4;;48;25;10;7;;;;;;;;;90;
15.09.2022;HM;2;2;S2;1;;38;20;15;25;;;;;;;;;98;
15.09.2022;HM;2;2;S2;2;;36;8;12;2;;;;;;;;;60;
15.09.2022;HM;2;2;S2;3;;65;10;5;10;;;;;;;;;90;
15.09.2022;HM;2;2;S2;4;;25;20;30;10;;;;;;;;;85;
15.09.2022;HM;2;3;S1;1;;80;5;5;5;;;;;;;;;95;
15.09.2022;HM;2;3;S1;2;;57;3;10;10;;;;;10;;;;90;
15.09.2022;HM;2;3;S1;3;;85;7;3;0;;;;;;;;;95;
15.09.2022;HM;2;3;S1;4;;8;2;85;5;;;;;;;;;100;
15.09.2022;HM;2;3;S2;1;;48;25;25;10;;;;;;;;;98;
15.09.2022;HM;2;3;S2;2;;25;10;20;5;;;;;;;;;60;
15.09.2022;HM;2;3;S2;3;;40;0;25;5;;;;;;;;;70;
15.09.2022;HM;2;3;S2;4;;60;18;5;15;;;;;;;;;98;
15.09.2022;HM;2;4;S1;1;;40;15;10;7;;;;;;;;;72;
15.09.2022;HM;2;4;S1;2;;55;20;10;5;;;;;;;;;90;
15.09.2022;HM;2;4;S1;3;;65;10;10;15;;;;;;;;;100;
15.09.2022;HM;2;4;S1;4;;90;8;1;1;;;;;;;;;100;
15.09.2022;HM;2;4;S2;1;;40;20;12;3;;;;;;;;;75;
15.09.2022;HM;2;4;S2;2;;35;5;5;5;;;;;;;;;50;
15.09.2022;HM;2;4;S2;3;;55;5;8;2;;;;;;;;;70;
15.09.2022;HM;2;4;S2;4;;35;6;4;15;;;;;;;;;60;
15.09.2022;HM;3;1;S1;1;;60;10;5;5;;;;;;;;;80;
15.09.2022;HM;3;1;S1;2;;40;8;11;1;;;;;;;;;60;
15.09.2022;HM;3;1;S1;3;;30;8;5;12;;;;;;;;;55;
15.09.2022;HM;3;1;S1;4;;34;8;12;6;;;;;;;;;60;
