"","Name","Station","Time","Precipitation","Snow_depth","Year","Month","month","year","jday","month_name","Temp_type","Temp"
"48","Hoydalsmoan","SN71780",2019-01-16,0,NA,2019-01-01,2019-01-01,1,2019,16,"January","Mean_temp",-7.5
"49","Hoydalsmoan","SN71780",2019-01-17,0.7,NA,2019-01-01,2019-01-01,1,2019,17,"January","Min_temp",-12.1
"50","Hoydalsmoan","SN71780",2019-01-17,0.7,NA,2019-01-01,2019-01-01,1,2019,17,"January","Max_temp",0
"51","Hoydalsmoan","SN71780",2019-01-17,0.7,NA,2019-01-01,2019-01-01,1,2019,17,"January","Mean_temp",-5.6
"52","Hoydalsmoan","SN71780",2019-01-18,11.2,NA,2019-01-01,2019-01-01,1,2019,18,"January","Min_temp",-3.5
"53","Hoydalsmoan","SN71780",2019-01-18,11.2,NA,2019-01-01,2019-01-01,1,2019,18,"January","Max_temp",0.4
"54","Hoydalsmoan","SN71780",2019-01-18,11.2,NA,2019-01-01,2019-01-01,1,2019,18,"January","Mean_temp",-1.2
"55","Hoydalsmoan","SN71780",2019-01-19,14.5,NA,2019-01-01,2019-01-01,1,2019,19,"January","Min_temp",-4.9
"56","Hoydalsmoan","SN71780",2019-01-19,14.5,NA,2019-01-01,2019-01-01,1,2019,19,"January","Max_temp",0.5
"57","Hoydalsmoan","SN71780",2019-01-19,14.5,NA,2019-01-01,2019-01-01,1,2019,19,"January","Mean_temp",-2.2
"58","Hoydalsmoan","SN71780",2019-01-20,6.8,NA,2019-01-01,2019-01-01,1,2019,20,"January","Min_temp",-8.6
"59","Hoydalsmoan","SN71780",2019-01-20,6.8,NA,2019-01-01,2019-01-01,1,2019,20,"January","Max_temp",-1.7
"60","Hoydalsmoan","SN71780",2019-01-20,6.8,NA,2019-01-01,2019-01-01,1,2019,20,"January","Mean_temp",-6.5
"61","Hoydalsmoan","SN71780",2019-01-21,0.3,NA,2019-01-01,2019-01-01,1,2019,21,"January","Min_temp",-10.4
"62","Hoydalsmoan","SN71780",2019-01-21,0.3,NA,2019-01-01,2019-01-01,1,2019,21,"January","Max_temp",-4.5
"63","Hoydalsmoan","SN71780",2019-01-21,0.3,NA,2019-01-01,2019-01-01,1,2019,21,"January","Mean_temp",-6.9
"64","Hoydalsmoan","SN71780",2019-01-22,2.6,NA,2019-01-01,2019-01-01,1,2019,22,"January","Min_temp",-9.4
"65","Hoydalsmoan","SN71780",2019-01-22,2.6,NA,2019-01-01,2019-01-01,1,2019,22,"January","Max_temp",-2.1
"66","Hoydalsmoan","SN71780",2019-01-22,2.6,NA,2019-01-01,2019-01-01,1,2019,22,"January","Mean_temp",-6.2
"67","Hoydalsmoan","SN71780",2019-01-23,0,NA,2019-01-01,2019-01-01,1,2019,23,"January","Min_temp",-12.1
"68","Hoydalsmoan","SN71780",2019-01-23,0,NA,2019-01-01,2019-01-01,1,2019,23,"January","Max_temp",-6.1
"69","Hoydalsmoan","SN71780",2019-01-23,0,NA,2019-01-01,2019-01-01,1,2019,23,"January","Mean_temp",-8.8
"70","Hoydalsmoan","SN71780",2019-01-24,0,NA,2019-01-01,2019-01-01,1,2019,24,"January","Min_temp",-8.8
"71","Hoydalsmoan","SN71780",2019-01-24,0,NA,2019-01-01,2019-01-01,1,2019,24,"January","Max_temp",-2.7
"72","Hoydalsmoan","SN71780",2019-01-24,0,NA,2019-01-01,2019-01-01,1,2019,24,"January","Mean_temp",-4.8
"73","Hoydalsmoan","SN71780",2019-01-25,0,NA,2019-01-01,2019-01-01,1,2019,25,"January","Min_temp",-4.8
"74","Hoydalsmoan","SN71780",2019-01-25,0,NA,2019-01-01,2019-01-01,1,2019,25,"January","Max_temp",-1.8
"75","Hoydalsmoan","SN71780",2019-01-25,0,NA,2019-01-01,2019-01-01,1,2019,25,"January","Mean_temp",-3.3
"76","Hoydalsmoan","SN71780",2019-01-26,0,NA,2019-01-01,2019-01-01,1,2019,26,"January","Min_temp",-5.2
"77","Hoydalsmoan","SN71780",2019-01-26,0,NA,2019-01-01,2019-01-01,1,2019,26,"January","Max_temp",-2.1
"78","Hoydalsmoan","SN71780",2019-01-26,0,NA,2019-01-01,2019-01-01,1,2019,26,"January","Mean_temp",-3.8
"79","Hoydalsmoan","SN71780",2019-01-27,0,NA,2019-01-01,2019-01-01,1,2019,27,"January","Min_temp",-5.9
"80","Hoydalsmoan","SN71780",2019-01-27,0,NA,2019-01-01,2019-01-01,1,2019,27,"January","Max_temp",-3.9
"81","Hoydalsmoan","SN71780",2019-01-27,0,NA,2019-01-01,2019-01-01,1,2019,27,"January","Mean_temp",-5
"82","Hoydalsmoan","SN71780",2019-01-28,0,NA,2019-01-01,2019-01-01,1,2019,28,"January","Min_temp",-6
"83","Hoydalsmoan","SN71780",2019-01-28,0,NA,2019-01-01,2019-01-01,1,2019,28,"January","Max_temp",-2.3
"84","Hoydalsmoan","SN71780",2019-01-28,0,NA,2019-01-01,2019-01-01,1,2019,28,"January","Mean_temp",-4
"85","Hoydalsmoan","SN71780",2019-01-29,0,NA,2019-01-01,2019-01-01,1,2019,29,"January","Min_temp",-5.1
"86","Hoydalsmoan","SN71780",2019-01-29,0,NA,2019-01-01,2019-01-01,1,2019,29,"January","Max_temp",-1.1
"87","Hoydalsmoan","SN71780",2019-01-29,0,NA,2019-01-01,2019-01-01,1,2019,29,"January","Mean_temp",-3.5
"88","Hoydalsmoan","SN71780",2019-01-30,0.1,NA,2019-01-01,2019-01-01,1,2019,30,"January","Min_temp",-8.1
"89","Hoydalsmoan","SN71780",2019-01-30,0.1,NA,2019-01-01,2019-01-01,1,2019,30,"January","Max_temp",-0.9
"90","Hoydalsmoan","SN71780",2019-01-30,0.1,NA,2019-01-01,2019-01-01,1,2019,30,"January","Mean_temp",-4.1
"91","Hoydalsmoan","SN71780",2019-01-31,0.4,NA,2019-01-01,2019-01-01,1,2019,31,"January","Min_temp",-3.7
"92","Hoydalsmoan","SN71780",2019-01-31,0.4,NA,2019-01-01,2019-01-01,1,2019,31,"January","Max_temp",0.1
"93","Hoydalsmoan","SN71780",2019-01-31,0.4,NA,2019-01-01,2019-01-01,1,2019,31,"January","Mean_temp",-1.2
"94","Hoydalsmoan","SN71780",2019-02-01,0,NA,2019-01-01,2019-02-01,2,2019,32,"February","Min_temp",-3.1
"95","Hoydalsmoan","SN71780",2019-02-01,0,NA,2019-01-01,2019-02-01,2,2019,32,"February","Max_temp",-0.6
"96","Hoydalsmoan","SN71780",2019-02-01,0,NA,2019-01-01,2019-02-01,2,2019,32,"February","Mean_temp",-2.3
"97","Hoydalsmoan","SN71780",2019-02-02,0,NA,2019-01-01,2019-02-01,2,2019,33,"February","Min_temp",-7
"98","Hoydalsmoan","SN71780",2019-02-02,0,NA,2019-01-01,2019-02-01,2,2019,33,"February","Max_temp",-2.6
"99","Hoydalsmoan","SN71780",2019-02-02,0,NA,2019-01-01,2019-02-01,2,2019,33,"February","Mean_temp",-5.8
"100","Hoydalsmoan","SN71780",2019-02-03,0,NA,2019-01-01,2019-02-01,2,2019,34,"February","Min_temp",-7.8
