"","Location","Sublocation","Block","Treatment","Logger_ID","year","DateTime","soil_gs_mean","soil_gs_max","soil_gs_min","Avg_Temp_Fluctuation","Max_Temp_Fluctuation","Min_Temp_Fluctuation"
"46","VSM","1","1","C","20857968",2020,2020-01-01,12.2900274725275,23.004,3.155,5.18782417582418,12.346,1.56
"47","VSM","1","1","M","20858006",2020,2020-01-01,12.735592032967,23.196,4.415,4.62068131868132,11.524,1.167
"48","VSM","1","2","C","20857965",2020,2020-01-01,12.5530343406593,23.196,4.102,4.90936263736264,11.736,1.168
"49","VSM","1","2","M","20857998",2020,2020-01-01,12.3549587912088,22.429,4.207,4.62131868131868,10.982,1.364
"50","VSM","1","3","C","20857955",2020,2020-01-01,12.3969203296703,23.581,3.261,5.24398901098901,12.719,1.559
"51","VSM","1","3","M","20857966",2020,2020-01-01,12.1947554945055,21.378,4.727,3.63446153846154,8.863,0.997
"52","VSM","1","4","C","20858012",2020,2020-01-01,12.4842376373626,24.738,2.837,6.56871428571429,15.82,1.953
"53","VSM","1","4","M","20858005",2020,2020-01-01,12.3176744505495,21.091,4.207,3.97953846153846,9.063,1.197
"54","VSM","2","1","C","20857963",2020,2020-01-01,13.0838667582418,25.513,3.788,6.48395604395604,14.328,1.676
"55","VSM","2","1","M","20858008",2020,2020-01-01,12.9955395284327,26.879,2.73,6.41017582417582,14.829,0
"56","VSM","2","2","C","20857995",2020,2020-01-01,12.6757582417582,23.677,5.141,4.75795604395604,11.557,0.885
"57","VSM","2","3","C","20857987",2020,2020-01-01,12.498293956044,24.738,2.303,6.92825274725275,14.748,2.466
"58","VSM","2","3","M","20858003",2020,2020-01-01,13.3898063186813,26.292,4.311,5.55064835164835,13.694,1.26
"59","VSM","2","4","C","20858001",2020,2020-01-01,12.9581497252747,23.677,4.831,4.84768131868132,10.529,1.281
"60","VSM","2","4","M","20858015",2020,2020-01-01,13.2525576923077,24.931,3.998,5.95746153846154,12.984,1.651
