"","Location","Sublocation","Block","Treatment","Logger_ID","year","DateTime","monthly_mean","monthly_max","monthly_min","month"
"59","BSM","2","1","M","20857991",2021,2021-09-01,10.8204541666667,14.325,7.079,"September"
"60","BSM","2","1","M","20857991",2022,2022-05-01,9.25759574468085,23.677,0.784,"May"
"61","BSM","2","2","C","20857951",2021,2021-06-01,13.599921686747,22.046,7.381,"June"
"62","BSM","2","2","C","20857951",2021,2021-07-01,17.1458064516129,25.125,8.879,"July"
"63","BSM","2","2","C","20857951",2021,2021-08-01,13.7904879032258,22.717,6.064,"August"
"64","BSM","2","2","C","20857951",2021,2021-09-01,10.418125,15.855,4.102,"September"
"65","BSM","2","2","C","20857951",2022,2022-05-01,9.97795967741935,22.046,1.221,"May"
"66","BSM","2","2","C","20857951",2022,2022-06-01,15.1425583333333,26.195,3.049,"June"
"67","BSM","2","2","C","20857951",2022,2022-07-01,15.1415201612903,25.028,10.161,"July"
"68","BSM","2","2","C","20857951",2022,2022-08-01,15.0661975806452,22.525,7.882,"August"
"69","BSM","2","2","C","20857951",2022,2022-09-01,10.430025,17.95,3.683,"September"
"70","BSM","2","2","M","20857983",2021,2021-06-01,13.1969819277108,18.806,9.866,"June"
"71","BSM","2","2","M","20857983",2021,2021-07-01,16.996935483871,22.621,11.139,"July"
"72","BSM","2","2","M","20857983",2021,2021-08-01,14.0665322580645,20.329,7.582,"August"
"73","BSM","2","2","M","20857983",2021,2021-09-01,10.6557166666667,15.187,6.268,"September"
"74","BSM","2","2","M","20857983",2022,2022-05-01,9.61005241935484,19.567,1.656,"May"
"75","BSM","2","2","M","20857983",2022,2022-06-01,14.7421291666667,25.805,4.519,"June"
"76","BSM","2","2","M","20857983",2022,2022-07-01,14.9902459677419,24.931,9.866,"July"
"77","BSM","2","2","M","20857983",2022,2022-08-01,15.0049798387097,23.004,7.782,"August"
"78","BSM","2","2","M","20857983",2022,2022-09-01,10.3727416666667,18.331,3.893,"September"
"79","BSM","2","3","C","20857943",2021,2021-06-01,14.1990120481928,23.869,6.978,"June"
"80","BSM","2","3","C","20857943",2021,2021-07-01,17.8465120967742,28.06,8.481,"July"
"81","BSM","2","3","C","20857943",2021,2021-08-01,14.3256532258065,24.835,6.268,"August"
"82","BSM","2","3","C","20857943",2021,2021-09-01,11.0117916666667,17.855,2.943,"September"
"83","BSM","2","3","M","20857957",2021,2021-06-01,14.4877228915663,23.773,9.571,"June"
"84","BSM","2","3","M","20857957",2021,2021-07-01,18.0311693548387,26.683,11.041,"July"
"85","BSM","2","3","M","20857957",2021,2021-08-01,14.7223024193548,23.773,7.381,"August"
"86","BSM","2","3","M","20857957",2021,2021-09-01,10.9568083333333,16.523,4.934,"September"
"87","BSM","2","3","M","20857957",2022,2022-05-01,10.3511491935484,21.951,1.656,"May"
"88","BSM","2","3","M","20857957",2022,2022-06-01,15.3106125,28.456,3.683,"June"
"89","BSM","2","3","M","20857957",2022,2022-07-01,15.5566008064516,26.977,9.571,"July"
"90","BSM","2","3","M","20857957",2022,2022-08-01,15.4534516129032,24.255,7.381,"August"
"91","BSM","2","3","M","20857957",2022,2022-09-01,11.0886428571429,18.806,4.831,"September"
"92","BSM","2","4","C","20857964",2021,2021-06-01,14.5433554216867,22.908,8.978,"June"
"93","BSM","2","4","C","20857964",2021,2021-07-01,17.7781411290323,25.805,10.357,"July"
"94","BSM","2","4","C","20857964",2021,2021-08-01,14.5498790322581,23.677,8.481,"August"
"95","BSM","2","4","C","20857964",2021,2021-09-01,11.2843833333333,14.804,8.182,"September"
"96","BSM","2","4","C","20857964",2022,2022-05-01,10.3303629032258,19.472,4.831,"May"
"97","BSM","2","4","C","20857964",2022,2022-06-01,15.8115166666667,24.255,9.965,"June"
"98","BSM","2","4","C","20857964",2022,2022-07-01,15.7275766129032,24.931,12.497,"July"
"99","BSM","2","4","C","20857964",2022,2022-08-01,15.7528991935484,21.473,11.528,"August"
"100","BSM","2","4","C","20857964",2022,2022-09-01,11.6491538461538,15.855,6.978,"September"
"101","BSM","2","4","M","20857986",2021,2021-06-01,14.128921686747,19.567,10.357,"June"
"102","BSM","2","4","M","20857986",2021,2021-07-01,17.3040403225806,24.738,11.334,"July"
"103","BSM","2","4","M","20857986",2021,2021-08-01,14.1328306451613,19.948,8.581,"August"
"104","BSM","2","4","M","20857986",2021,2021-09-01,11.0815958333333,15.378,6.775,"September"
"105","BSM","2","4","M","20857986",2022,2022-05-01,10.3148870967742,19.567,3.155,"May"
"106","BSM","2","4","M","20857986",2022,2022-06-01,15.4500208333333,25.319,6.674,"June"
"107","BSM","2","4","M","20857986",2022,2022-07-01,15.7545443548387,24.931,11.041,"July"
"108","BSM","2","4","M","20857986",2022,2022-08-01,15.5128991935484,21.951,9.472,"August"
"109","BSM","2","4","M","20857986",2022,2022-09-01,10.6257041666667,16.523,4.831,"September"
"110","BSM","3","1","C","20857953",2021,2021-06-01,13.4634036144578,20.424,8.978,"June"
"111","BSM","3","1","C","20857953",2021,2021-07-01,17.0037620967742,23.869,10.455,"July"
"112","BSM","3","1","C","20857953",2021,2021-08-01,13.8925846774194,21.473,7.179,"August"
"113","BSM","3","1","C","20857953",2021,2021-09-01,10.6456791666667,15.951,5.347,"September"
"114","BSM","3","1","M","20857959",2021,2021-06-01,13.590734939759,19.472,9.965,"June"
"115","BSM","3","1","M","20857959",2021,2021-07-01,17.1062701612903,22.812,11.236,"July"
"116","BSM","3","1","M","20857959",2021,2021-08-01,14.0713346774194,19.758,8.581,"August"
"117","BSM","3","1","M","20857959",2021,2021-09-01,10.6596208333333,14.23,6.37,"September"
"118","BSM","3","1","M","20857959",2022,2022-05-01,9.77585483870968,20.234,1.548,"May"
"119","BSM","3","1","M","20857959",2022,2022-06-01,14.9849208333333,26.488,4.831,"June"
"120","BSM","3","1","M","20857959",2022,2022-07-01,15.458935483871,24.931,10.357,"July"
"121","BSM","3","1","M","20857959",2022,2022-08-01,15.5205483870968,23.196,8.382,"August"
"122","BSM","3","1","M","20857959",2022,2022-09-01,11.0365076142132,18.996,4.519,"September"
"123","BSM","3","2","C","20857985",2021,2021-06-01,12.8299277108434,18.426,8.581,"June"
"124","BSM","3","2","C","20857985",2021,2021-07-01,16.2853387096774,22.046,10.455,"July"
"125","BSM","3","2","C","20857985",2021,2021-08-01,13.3306935483871,19.472,7.179,"August"
"126","BSM","3","2","C","20857985",2021,2021-09-01,10.2282708333333,14.23,5.347,"September"
"127","BSM","3","2","C","20857985",2022,2022-05-01,9.44853629032258,21.855,0.893,"May"
"128","BSM","3","2","C","20857985",2022,2022-06-01,14.5281458333333,24.545,3.261,"June"
"129","BSM","3","2","C","20857985",2022,2022-07-01,14.9744556451613,23.484,10.455,"July"
"130","BSM","3","2","C","20857985",2022,2022-08-01,14.8948669354839,21.187,8.879,"August"
"131","BSM","3","2","C","20857985",2022,2022-09-01,10.4596833333333,15.76,5.141,"September"
"132","BSM","3","2","M","20858010",2021,2021-06-01,13.2064879518072,19.758,9.768,"June"
"133","BSM","3","2","M","20858010",2021,2021-07-01,16.9289072580645,23.292,11.334,"July"
"134","BSM","3","2","M","20858010",2021,2021-08-01,14.1104274193548,21.76,8.282,"August"
"135","BSM","3","2","M","20858010",2021,2021-09-01,10.5822083333333,15.473,6.37,"September"
"136","BSM","3","3","C","20857950",2021,2021-06-01,13.0867168674699,18.806,8.779,"June"
"137","BSM","3","3","C","20857950",2021,2021-07-01,16.5859919354839,22.238,10.748,"July"
"138","BSM","3","3","C","20857950",2021,2021-08-01,13.7150483870968,20.043,7.381,"August"
"139","BSM","3","3","C","20857950",2021,2021-09-01,10.468725,15.091,5.757,"September"
"140","BSM","3","3","C","20857950",2022,2022-05-01,9.51538709677419,21.569,1.221,"May"
